FACT;SOURCE;LANG
Dogs have a sense of time. It's been proven that they know the difference between a hour and five. If conditioned to, they can predict future events, such as regular walk times.;2;en
Dogs have three eyelids: an upper lid, a lower lid and the third lid, called a nictitating membrane or 'haw', which helps keep the eye moist and protected.;4;en
Dogs have wet noses because it helps to absorb scent chemicals;2;en
Dogs' noses are wet to help absorb scent chemicals;1;en
Dogs' noses secrete a thin layer of mucous that helps them absorb scent. They then lick their noses to sample the scent through their mouth.;4;en
Dogs that have been spayed or neutered live longer than dogs who are intact;2;en
Do you have a dog that experiences separation anxiety? Try leaving some clothing with him that you've worn. It's been proven that the scent you leave behind on your clothes can help ease your dog's separation anxiety.;2;en
Every dog on earth likely descended from a species known as the Tomarctus - a creature that roamed the earth over 15 million years ago.;3;en
Former Michael Vick dogs, Sox and Hector, are certified therapy dogs. They now spend their days cheering up people at hospitals, nursing homes, and schools.;2;en
Gidget is the name of the Taco Bell dog;3;en
Greyhounds are the fastest dogs on earth, with speeds of up to 45 miles per hour.;3;en
Have you ever wondered why your dog curls up in a ball when they sleep? It's actually an age-old instinct to keep themselves warm and to protect vital organs while they sleep.;2;en
Humans have kept dogs as pets for over 12 thousand years;3;en
If never spayed or neutered, a female dog, her mate, and their puppies could produce over 66 thousand dogs in 6 years!;3;en
In 1957, Laika became the first living being in space via an earth satellite.;3;en
In 2002, more people in the U.S. were killed by dogs than by sharks during the past 100 years.;3;en
In addition to sweating through their paw pads, dogs pant to cool themselves off. A panting dog can take 300-400 breaths (compared to his regular 30-40) with very little effort.;4;en
In Roman times, mastiffs donned light armor and were sent after mounted knights.;3;en
It is a myth that dogs are color blind. They can actually see in color, just not as vividly as humans. It is similar to our vision at dusk.;3;en
It's a myth that dogs only see in black and white. In fact, it's believed that dogs see primarily in blue, greenish-yellow, yellow and various shades of gray.;4;en
It's rumored that, at the end of the Beatles song, 'A Day in the Life', Paul McCartney recorded an ultrasonic whistle, audible only to dogs, just for his Shetland sheepdog.;4;en
JFK's terrier, Charlie, fathered 4 puppies with Laika's daughter.;3;en
Labradors have been the most popular breed in the United States for the last 26 years;2;en
Like human babies, Chihuahuas are born with a soft spot in their skull which closes with age.;3;en
Man's best friend? Petting a dog and gazing into their eyes releases oxytocin (i.e the 'love hormone') not only for you, but for them as well.;2;en
More than half of all U.S presidents have owned dogs;2;en
Newfoundlands are amazing lifeguards;1;en
Newfoundlands are great swimmers because of their webbed feet;3;en
Obesity is the #1 health problem among dogs.;3;en
Only dogs and humans have prostates;3;en
President Lyndon Johnson had two beagles named Him and Her;3;en
Puppies have 28 teeth and normal adult dogs have 42;4;en
Scientists believe that the world's first known dog lived 31,700 years ago. This prehistoric dog resembled a large Siberian Husky.;2;en
Seeing eye dogs are trained to do their 'business' on command. This way their owner can clean it up a bit easier. Some of the popular commands are 'get busy' and 'go time'.;2;en
Sound frequency is measured in Hertz (Hz). The higher the Hertz, the higher-pitched the sound. Dogs hear best at 8000 Hz, while humans hear best at around 2000 Hz.;4;en
Spiked collars were originally fashioned in ancient Greece to protect dogs' throats from wolf attacks.;2;en
Stray dogs in Russia have learned how to ride the complex subway system, and get off at specific stops in search of food.;2;en
Teddy Roosevelt's dog, Pete, ripped a French Ambassador's pants off at the White House.;3;en
The African Hunting dog is the most successful hunter in the world;1;en
The average city dog lives 3 years longer than a country dog;3;en
The Bible mentions dogs 14 times;3;en
The Ewoks in Star Wars were based on a dog;1;en
The Labrador Retriever is the #1 favorite breed in the U.S., Canada, and the United Kingdom.;3;en
The largest breed of dog is the Irish Wolfhound;3;en
The Lundehune breed has 6 toes and can close its ears;3;en
The Newfoundland breed has a water resistant coat and webbed feet. This dog was originally bred to help haul nets for fishermen and rescuing people at risk of drowning.;4;en
The oldest known dog breed is most likely the Saluki - originally trained by Egyptians to help them track game.;3;en
The phrase 'raining cats and dogs' originated in 17th century England when it is believed that many cats and dogs drowned during heavy periods of rain.;3;en
There are 703 breeds of purebred dogs;3;en
There are approximately 600 million dogs in the world. It is estimated that nearly 400M of those dogs are strays. ;2;en
There are only 350 Cisky Terriers in the world - perhaps the rarest breed;3;en
The Russians trained dogs during WWII to run suicide missions with mines strapped to their backs;3;en
The Saluki is the world's oldest dog breed. They appear in ancient Egyptian tombs dating back to 2100 B.C.;2;en
The St. Bernard is the world's heaviest breed;3;en
The tallest dog in the world is 44 inches tall;1;en
The United States has the highest pet dog population in the world. Approximately 76 million in fact.;2;en
The U.S. has the highest dog population in the world. France has the 2nd highest dog population.;3;en
The world's smallest dog breed is the Chihuahua;3;en
Three dogs survived the sinking of the Titanic: a Newfoundland, a Pomeranian, and a Pekingese.;3;en
Unlike humans who sweat everywhere, dogs only sweat through the pads of their feet.;4;en
When your dog is carefully choosing the perfect place to do his business, it is because they prefer to go poop in alignment with the Earth's magnetic field;2;en
While the Chow Chow dogs are well known for their distinctive blue-black tongues, they're actually born with pink tongues. They turn blue-black at 8-10 weeks of age.;4;en
Your dog can help get you a date! One study showed that a man's chances of getting a girl's phone number went from 10% to 33%, just by having a dog with them. In the study, a staggering 66% of men and women would not date someone who didn't like pets.;2;en
Your dog can smell your feelings. In fact, your dog's sense of smell is approximately 100 thousand times better than yours. So it shouldn't be shocking that they can in fact, smell things such as fear. When a human is fearful, they perspire, and a dog is easily able to pick up on this change.;2;en
Your dog is as smart as a two-year old! Ever wonder why children around this age seem to have a special bond with the family dog? It could be because they speak the same language, roughly 250 words and gestures in fact.;2;en
